"taxon","name"
"http://purl.obolibrary.org/obo/NCBITaxon_166361","Onthophagus taurus"
"http://purl.obolibrary.org/obo/NCBITaxon_166335","Scarabaeus sacer"
"http://purl.obolibrary.org/obo/NCBITaxon_1889476","Agapostemon texanus"
"http://purl.obolibrary.org/obo/NCBITaxon_1955928","Chalepogenus caeruleus"
"http://purl.obolibrary.org/obo/NCBITaxon_1980241","Chalepogenus goeldianus"
"http://purl.obolibrary.org/obo/NCBITaxon_1955929","Chalepogenus herbsti"
"http://purl.obolibrary.org/obo/NCBITaxon_1980242","Chalepogenus muelleri"
"http://purl.obolibrary.org/obo/NCBITaxon_1980243","Chalepogenus parvus"
"http://purl.obolibrary.org/obo/NCBITaxon_1955930","Chalepogenus subcaeruleus"
"http://purl.obolibrary.org/obo/NCBITaxon_239131","Bombus vagans"
"http://purl.obolibrary.org/obo/NCBITaxon_2736700","Chalepogenus rozeni"
"http://purl.obolibrary.org/obo/NCBITaxon_27486","Evania appendigaster"
"http://purl.obolibrary.org/obo/NCBITaxon_506459","Phanaeus haroldi"
"http://purl.obolibrary.org/obo/NCBITaxon_931007","Scarabaeus radama"